20170519, 150.6200, 154.1400, 150.1100, 151.9800, 23606431
20170512, 152.8000, 153.4700, 149.7900, 150.3700, 28432713
20170505, 160.0500, 160.4200, 153.0000, 155.0500, 28746997
20170428, 161.2900, 162.0400, 159.6300, 160.2900, 22585454
20170421, 169.7500, 171.6900, 159.6000, 160.3800, 22353091
20170413, 172.5300, 172.5600, 168.9800, 169.5300, 15162492
20170407, 173.8200, 176.3300, 171.2800, 172.1400, 20657952
20170331, 172.6900, 175.0000, 172.0937, 174.1400, 15949938
20170324, 175.6500, 176.2300, 172.8000, 173.8300, 16816026
20170317, 177.8500, 179.0000, 174.7500, 175.6500, 20678038
20170310, 179.7200, 181.2900, 175.8800, 177.8300, 18283618
20170303, 181.1900, 182.5500, 179.2800, 180.0500, 14713309
20170224, 180.6000, 182.5000, 179.1200, 181.3500, 13082284
20170217, 179.2400, 182.7900, 178.3500, 180.6700, 15587334
20170210, 175.3100, 178.8701, 174.3800, 178.6800, 15458288
20170203, 176.9800, 177.0700, 172.8900, 175.8200, 16952754
20170127, 170.0800, 179.2500, 170.0100, 177.3000, 24898161
20170120, 166.6900, 170.6400, 165.8000, 170.5500, 26891514
20170113, 169.4700, 169.8000, 165.3400, 167.3400, 16710843
20170106, 167.0000, 169.9200, 166.0100, 169.5300, 11943248
20161230, 166.9800, 167.9800, 165.5000, 165.9900, 7770697
20161223, 166.8300, 168.2500, 165.2500, 166.7100, 13209502
20161216, 166.7200, 169.9520, 165.0700, 166.7300, 23953742
20161209, 160.8500, 166.7200, 158.9300, 166.5200, 17154330
20161202, 163.2000, 164.6600, 158.3000, 160.0200, 19370850
20161125, 160.6900, 163.1900, 160.3697, 163.1400, 11269212
20161118, 161.2500, 161.8600, 157.5500, 160.3900, 16168917
20161111, 153.9900, 161.3400, 151.0000, 161.2700, 25292112
20161104, 152.7600, 154.3300, 151.6700, 152.4300, 15168515
20161028, 150.4000, 154.4400, 149.8300, 152.6100, 16009359
20161021, 154.4500, 155.8900, 147.7900, 149.6300, 31731091
20161014, 156.7100, 158.4900, 152.2700, 154.4500, 15614452
20161007, 158.0600, 158.5300, 154.8600, 155.6700, 11417766
20160930, 154.4600, 165.0000, 153.4600, 158.8500, 15801644
20160923, 154.8700, 157.2200, 153.8700, 154.9800, 12476162
20160916, 155.2600, 158.5300, 153.2100, 153.8400, 21990587
20160909, 159.8800, 161.7600, 155.6500, 155.6900, 15009419
20160902, 158.8300, 160.5700, 158.1000, 159.5500, 11286596
20160826, 160.0000, 161.3400, 157.8500, 158.3200, 13571765
20160819, 162.4000, 162.9700, 159.5200, 160.0400, 14873739
20160812, 162.7300, 164.9500, 161.5200, 161.9500, 19554950
20160805, 160.6500, 163.5100, 159.8000, 163.5000, 15067283
20160729, 162.0000, 163.6000, 160.0300, 160.6200, 13747991
20160722, 159.3000, 162.1700, 157.8900, 162.0700, 24775973
20160715, 154.6000, 161.4000, 154.5000, 159.7800, 18535456
20160708, 151.1900, 154.6000, 149.9200, 154.4600, 10213227
20160701, 146.1800, 152.9700, 142.5000, 152.3500, 19155814
20160624, 152.6000, 155.4800, 146.1800, 146.5900, 22214411
20160617, 151.6300, 152.7200, 149.0000, 151.9900, 15849580
20160610, 153.0900, 154.0900, 151.8600, 152.3700, 14920842
20160603, 152.5600, 153.8100, 151.5400, 152.8900, 13470239
20160527, 147.6100, 152.9300, 146.6600, 152.8400, 14910875
20160520, 147.6500, 149.9900, 143.9550, 147.2500, 16406443
20160513, 147.7000, 151.0900, 147.0100, 147.7200, 17034303
20160506, 146.5600, 147.9700, 142.9000, 147.2900, 21059912
20160429, 148.1600, 150.7800, 144.1910, 145.9400, 16956550
20160422, 151.7500, 153.1400, 142.6100, 148.5000, 37688644
20160415, 150.2600, 152.7600, 148.5800, 151.7200, 17443203
20160408, 152.3400, 153.5200, 147.8100, 149.3500, 18417556
20160401, 147.7500, 153.1000, 147.2300, 152.5200, 20439783
20160324, 147.3000, 149.2800, 144.4900, 147.9500, 17611709
20160318, 142.0100, 147.5100, 141.0400, 147.0900, 29886417
20160311, 137.2800, 142.9236, 136.8718, 142.3600, 23556160
20160304, 132.0000, 139.4200, 130.9000, 137.8000, 22557187
20160226, 133.8400, 134.9200, 129.6800, 132.0300, 20763400
20160219, 121.8300, 134.0000, 121.3400, 133.0800, 23958762
20160212, 126.0000, 127.5100, 116.9010, 121.0400, 32025579
20160205, 124.4000, 128.6400, 122.2900, 128.5700, 25527891
20160129, 122.1000, 124.7900, 120.6500, 124.7900, 27278749
20160122, 130.1100, 132.1000, 118.0000, 122.5000, 44203492
20160115, 131.8100, 134.2799, 128.8700, 130.0300, 29470082
20160108, 135.6000, 136.8900, 131.3200, 131.6300, 25251873
